,year,age,sumtotal
1,1984,0 to 5 years,1338
2,1984,12 to 17 years,8068
3,1984,18 to 28 years,27586
4,1984,29 to 60 years,113222
5,1984,6 to 11 years,2829
6,1984,61 to 100 years,34592
7,1985,0 to 5 years,403
8,1985,12 to 17 years,1208
9,1985,18 to 28 years,1530
10,1985,29 to 60 years,11434
11,1985,6 to 11 years,814
12,1985,61 to 100 years,4295
13,1986,0 to 5 years,526
14,1986,12 to 17 years,1425
15,1986,18 to 28 years,1879
16,1986,29 to 60 years,12966
17,1986,6 to 11 years,992
18,1986,61 to 100 years,4530
19,1987,0 to 5 years,699
20,1987,12 to 17 years,1733
21,1987,18 to 28 years,2794
22,1987,29 to 60 years,15838
23,1987,6 to 11 years,1365
24,1987,61 to 100 years,5204
25,1988,0 to 5 years,1404
26,1988,12 to 17 years,3885
27,1988,18 to 28 years,5291
28,1988,29 to 60 years,24583
29,1988,6 to 11 years,2978
30,1988,61 to 100 years,7824
31,1989,0 to 5 years,1212
32,1989,12 to 17 years,3282
33,1989,18 to 28 years,5290
34,1989,29 to 60 years,24181
35,1989,6 to 11 years,2566
36,1989,61 to 100 years,7647
37,1990,0 to 5 years,1606
38,1990,12 to 17 years,4064
39,1990,18 to 28 years,7334
40,1990,29 to 60 years,28397
41,1990,6 to 11 years,3173
42,1990,61 to 100 years,8970
43,1991,0 to 5 years,1521
44,1991,12 to 17 years,3555
45,1991,18 to 28 years,7476
46,1991,29 to 60 years,29460
47,1991,6 to 11 years,2907
48,1991,61 to 100 years,9097
49,1992,0 to 5 years,2161
50,1992,12 to 17 years,4826
51,1992,18 to 28 years,10071
52,1992,29 to 60 years,33894
53,1992,6 to 11 years,3828
54,1992,61 to 100 years,10130
55,1993,0 to 5 years,2456
56,1993,12 to 17 years,5662
57,1993,18 to 28 years,11959
58,1993,29 to 60 years,35325
59,1993,6 to 11 years,4686
60,1993,61 to 100 years,10149
61,1994,0 to 5 years,2823
62,1994,12 to 17 years,6497
63,1994,18 to 28 years,12643
64,1994,29 to 60 years,35544
65,1994,6 to 11 years,5302
66,1994,61 to 100 years,9741
67,1995,0 to 5 years,5802
68,1995,12 to 17 years,13425
69,1995,18 to 28 years,22994
70,1995,29 to 60 years,52613
71,1995,6 to 11 years,12164
72,1995,61 to 100 years,13658
73,1996,0 to 5 years,7400
74,1996,12 to 17 years,16730
75,1996,18 to 28 years,31219
76,1996,29 to 60 years,66936
77,1996,6 to 11 years,14299
78,1996,61 to 100 years,17230
79,1997,0 to 5 years,12849
80,1997,12 to 17 years,30110
81,1997,18 to 28 years,55560
82,1997,29 to 60 years,102619
83,1997,6 to 11 years,25498
84,1997,61 to 100 years,25802
85,1998,0 to 5 years,13009
86,1998,12 to 17 years,29370
87,1998,18 to 28 years,53459
88,1998,29 to 60 years,100177
89,1998,6 to 11 years,24070
90,1998,61 to 100 years,25262
91,1999,0 to 5 years,14861
92,1999,12 to 17 years,33548
93,1999,18 to 28 years,59231
94,1999,29 to 60 years,113057
95,1999,6 to 11 years,26621
96,1999,61 to 100 years,28534
97,2000,0 to 5 years,30945
98,2000,12 to 17 years,69478
99,2000,18 to 28 years,120732
100,2000,29 to 60 years,210118
101,2000,6 to 11 years,51744
102,2000,61 to 100 years,52825
103,2001,0 to 5 years,34718
104,2001,12 to 17 years,84928
105,2001,18 to 28 years,155830
106,2001,29 to 60 years,249630
107,2001,6 to 11 years,55801
108,2001,61 to 100 years,61474
109,2002,0 to 5 years,42745
110,2002,12 to 17 years,106535
111,2002,18 to 28 years,180732
112,2002,29 to 60 years,293526
113,2002,6 to 11 years,68530
114,2002,61 to 100 years,74890
115,2003,0 to 5 years,27258
116,2003,12 to 17 years,68685
117,2003,18 to 28 years,110251
118,2003,29 to 60 years,178886
119,2003,6 to 11 years,44098
120,2003,61 to 100 years,42587
121,2004,0 to 5 years,26652
122,2004,12 to 17 years,63613
123,2004,18 to 28 years,99182
124,2004,29 to 60 years,158182
125,2004,6 to 11 years,46260
126,2004,61 to 100 years,34951
127,2005,0 to 5 years,30130
128,2005,12 to 17 years,72087
129,2005,18 to 28 years,108222
130,2005,29 to 60 years,164918
131,2005,6 to 11 years,56707
132,2005,61 to 100 years,35405
133,2006,0 to 5 years,30896
134,2006,12 to 17 years,71599
135,2006,18 to 28 years,104560
136,2006,29 to 60 years,157207
137,2006,6 to 11 years,61202
138,2006,61 to 100 years,31520
139,2007,0 to 5 years,33764
140,2007,12 to 17 years,75616
141,2007,18 to 28 years,109013
142,2007,29 to 60 years,163248
143,2007,6 to 11 years,71004
144,2007,61 to 100 years,31203
145,2008,0 to 5 years,31241
146,2008,12 to 17 years,65334
147,2008,18 to 28 years,94276
148,2008,29 to 60 years,140882
149,2008,6 to 11 years,67385
150,2008,61 to 100 years,25661
151,2009,0 to 5 years,21780
152,2009,12 to 17 years,40533
153,2009,18 to 28 years,59116
154,2009,29 to 60 years,89234
155,2009,6 to 11 years,43071
156,2009,61 to 100 years,15970
157,2010,0 to 5 years,20671
158,2010,12 to 17 years,34510
159,2010,18 to 28 years,49789
160,2010,29 to 60 years,76652
161,2010,6 to 11 years,37555
162,2010,61 to 100 years,13589
163,2011,0 to 5 years,27711
164,2011,12 to 17 years,44089
165,2011,18 to 28 years,63699
166,2011,29 to 60 years,94324
167,2011,6 to 11 years,49501
168,2011,61 to 100 years,16489
169,2012,0 to 5 years,30093
170,2012,12 to 17 years,45820
171,2012,18 to 28 years,71894
172,2012,29 to 60 years,111403
173,2012,6 to 11 years,50823
174,2012,61 to 100 years,18997
175,2013,0 to 5 years,38180
176,2013,12 to 17 years,45673
177,2013,18 to 28 years,70233
178,2013,29 to 60 years,103757
179,2013,6 to 11 years,50144
180,2013,61 to 100 years,17007
